image_id direction image_path processed left_top_x left_top_y right_top_x right_top_y left_middle_x left_middle_y right_middle_x right_middle_y left_bottom_x left_bottom_y right_bottom_x right_bottom_y update_at
1 left images/left_resize/000220160713_l_300_400.jpg 9 147.00000 62.00000 151.00000 106.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2016-12-29 10:43:57
2 left images/left_resize/000220160713_l_point_300_400.jpg 9 109.00000 111.00000 116.00000 114.00000 85.00000 166.00000 93.00000 172.00000 57.00000 226.00000 64.00000 234.00000 2016-12-29 10:44:44
3 left images/left_resize/000220161109_l_300_400.jpg 1 99.00000 132.00000 105.00000 135.00000 78.00000 176.00000 84.00000 182.00000 54.00000 230.00000 60.00000 234.00000 2016-12-29 10:44:56
4 left images/left_resize/000320160520_l_300_400.jpg 9 110.00000 110.00000 117.00000 114.00000 84.00000 163.00000 94.00000 168.00000 54.00000 229.00000 61.00000 234.00000 2016-12-31 21:33:36
5 left images/left_resize/000420160219_l_300_400.jpg 1 122.00000 86.00000 126.00000 90.00000 92.00000 141.00000 99.00000 146.00000 59.00000 204.00000 66.00000 211.00000 2016-12-31 21:34:45
6 left images/left_resize/000520160113_l_300_400.jpg 1 131.00000 116.00000 136.00000 119.00000 111.00000 155.00000 114.00000 160.00000 75.00000 223.00000 81.00000 228.00000 2016-12-31 21:34:54
7 left images/left_resize/000620160122_l_300_400.jpg 1 114.00000 106.00000 121.00000 114.00000 87.00000 161.00000 94.00000 165.00000 61.00000 217.00000 66.00000 221.00000 2016-12-31 21:35:14
8 left images/left_resize/000720160129_l_300_400.jpg 1 110.00000 97.00000 115.00000 102.00000 84.00000 142.00000 94.00000 148.00000 52.00000 209.00000 59.00000 214.00000 2016-12-31 21:35:25
9 left images/left_resize/000720161007_l_300_400.jpg 1 131.00000 114.00000 138.00000 117.00000 108.00000 158.00000 114.00000 162.00000 80.00000 216.00000 87.00000 220.00000 2016-12-31 21:35:43
10 left images/left_resize/000820161111_l_300_400.jpg 1 132.00000 112.00000 137.00000 117.00000 110.00000 154.00000 117.00000 158.00000 78.00000 216.00000 86.00000 223.00000 2016-12-31 21:35:52
11 left images/left_resize/000820161116_l_300_400.jpg 1 127.00000 111.00000 132.00000 115.00000 111.00000 146.00000 115.00000 150.00000 71.00000 224.00000 77.00000 229.00000 2016-12-31 21:36:02
12 left images/left_resize/000920160408_l_300_400.jpg 1 128.00000 116.00000 134.00000 120.00000 105.00000 160.00000 112.00000 166.00000 79.00000 217.00000 83.00000 220.00000 2016-12-31 21:36:13
13 left images/left_resize/000920160525_l_300_400.jpg 1 115.00000 112.00000 120.00000 114.00000 90.00000 158.00000 97.00000 166.00000 57.00000 224.00000 63.00000 228.00000 2016-12-31 21:36:23
14 left images/left_resize/000920160826_l_300_400.jpg 1 115.00000 90.00000 120.00000 94.00000 89.00000 142.00000 93.00000 150.00000 55.00000 209.00000 62.00000 214.00000 2016-12-31 21:36:37
15 left images/left_resize/001020160525_l_300_400.jpg 1 122.00000 116.00000 127.00000 120.00000 98.00000 163.00000 104.00000 169.00000 67.00000 226.00000 73.00000 230.00000 2016-12-31 21:36:47
16 left images/left_resize/001020160624_l_300_400.jpg 1 125.00000 91.00000 131.00000 96.00000 94.00000 150.00000 101.00000 157.00000 56.00000 213.00000 63.00000 219.00000 2016-12-31 21:37:00
17 left images/left_resize/001020160722_l_300_400.jpg 1 138.00000 120.00000 144.00000 125.00000 115.00000 164.00000 123.00000 169.00000 85.00000 217.00000 92.00000 221.00000 2016-12-31 21:37:11
18 left images/left_resize/001020160928_l_300_400.jpg 1 120.00000 103.00000 125.00000 107.00000 92.00000 153.00000 99.00000 160.00000 60.00000 216.00000 68.00000 222.00000 2016-12-31 21:37:22
19 left images/left_resize/001120160617_l_300_400.jpg 1 115.00000 112.00000 120.00000 117.00000 91.00000 162.00000 101.00000 167.00000 63.00000 218.00000 70.00000 225.00000 2016-12-31 21:37:32
20 left images/left_resize/001120160715_l_300_400.jpg 1 141.00000 109.00000 147.00000 114.00000 115.00000 158.00000 121.00000 165.00000 81.00000 218.00000 87.00000 224.00000 2016-12-31 21:37:43
21 left images/left_resize/001120160729_l_300_400.jpg 1 100.00000 110.00000 107.00000 114.00000 77.00000 161.00000 83.00000 163.00000 48.00000 214.00000 55.00000 221.00000 2016-12-31 21:38:19
22 left images/left_resize/001120160803_l_300_400.jpg 1 116.00000 118.00000 123.00000 121.00000 90.00000 170.00000 97.00000 177.00000 56.00000 243.00000 63.00000 248.00000 2016-12-31 21:38:32
23 left images/left_resize/001220151223_l_300_400.jpg 1 161.00000 130.00000 165.00000 133.00000 137.00000 176.00000 144.00000 181.00000 112.00000 228.00000 119.00000 233.00000 2017-01-01 23:57:35
24 left images/left_resize/001220160715_l_300_400.jpg 1 139.00000 114.00000 143.00000 117.00000 120.00000 151.00000 125.00000 155.00000 86.00000 217.00000 91.00000 222.00000 2017-01-01 23:57:55
25 left images/left_resize/001220160722_l_300_400.jpg 1 112.00000 116.00000 117.00000 121.00000 87.00000 163.00000 95.00000 170.00000 63.00000 219.00000 69.00000 223.00000 2017-01-02 00:09:11
26 left images/left_resize/001220160729_l_300_400.jpg 1 133.00000 110.00000 138.00000 114.00000 108.00000 158.00000 115.00000 164.00000 80.00000 215.00000 87.00000 217.00000 2017-01-02 00:09:22
27 left images/left_resize/001220160805_l_300_400.jpg 1 106.00000 122.00000 112.00000 129.00000 85.00000 164.00000 91.00000 168.00000 63.00000 210.00000 69.00000 214.00000 2017-01-02 00:09:38
28 left images/left_resize/001220161125_l_300_400.jpg 1 110.00000 90.00000 115.00000 94.00000 82.00000 145.00000 89.00000 150.00000 50.00000 209.00000 56.00000 214.00000 2017-01-02 00:09:50
29 left images/left_resize/001320160824_l_300_400.jpg 1 137.00000 112.00000 142.00000 117.00000 109.00000 168.00000 115.00000 174.00000 79.00000 226.00000 85.00000 231.00000 2017-01-02 00:10:22
30 left images/left_resize/001320160916_l_300_400.jpg 1 147.00000 116.00000 151.00000 122.00000 121.00000 162.00000 125.00000 166.00000 84.00000 222.00000 89.00000 226.00000 2017-01-02 00:10:38
31 left images/left_resize/001520160212_l_300_400.jpg 1 103.00000 118.00000 108.00000 121.00000 80.00000 162.00000 87.00000 169.00000 53.00000 219.00000 59.00000 224.00000 2017-01-02 00:10:49
32 left images/left_resize/001620161125_l_300_400.jpg 1 117.00000 114.00000 119.00000 118.00000 91.00000 162.00000 99.00000 167.00000 62.00000 218.00000 68.00000 223.00000 2017-01-02 00:11:04
33 left images/left_resize/001720160615_l_300_400.jpg 1 117.00000 114.00000 122.00000 118.00000 91.00000 164.00000 99.00000 172.00000 59.00000 232.00000 66.00000 237.00000 2017-01-02 00:11:18
34 left images/left_resize/001920160504_l_300_400.jpg 1 115.00000 94.00000 119.00000 98.00000 90.00000 141.00000 94.00000 147.00000 55.00000 210.00000 61.00000 216.00000 2017-01-02 00:15:53
35 left images/left_resize/001920160506_l_300_400.jpg 1 143.00000 110.00000 147.00000 114.00000 117.00000 157.00000 123.00000 160.00000 84.00000 211.00000 90.00000 218.00000 2017-01-02 00:16:08
36 left images/left_resize/001920160610_l_300_400.jpg 1 135.00000 111.00000 140.00000 115.00000 111.00000 153.00000 116.00000 159.00000 77.00000 211.00000 82.00000 216.00000 2017-01-02 00:16:18
